feature,mean_importance
TAP College Name,0.04369665077907002
Academic Year,0.05505798413204832
Sector Type,0.06021480699466122
TAP Sector Group,0.1373558343174051
Federal School Code,0.27903630232137955
TAP Recipient Headcount,0.3036737524941892
TAP Recipient Dollars,0.47486173973391643
TAP Recipient FTEs,0.8553852721748154
TAP College Code,1.889066518419383
