feature,mean_importance
Academic Year,3.349826274595509e-08
TAP Level of Study,8.086408111287415e-08
TAP Recipient FTEs,1.6874538323598532e-07
TAP Recipient Headcount,3.673425846693605e-07
TAP Recipient Dollars,4.837360825241453e-07
Level,1.4904838910328993e-06
TAP College Name,1.534869648520036e-05
Sector Type,2.9402662750755484e-05
TAP Sector Group,0.000393253837288466
Federal School Code,0.003986727559168327
TAP College Code,2.0224827839647768
