feature,mean_importance
Academic Year,0.1191368740898923
TAP College Name,0.3274788866305489
Federal School Code,0.55310116438154
TAP Recipient Dollars,1.6338767011760456
Sector Type,1.7159836584827162
TAP Sector Group,1.843121213083856
TAP Recipient Headcount,3.2023350741736074
TAP Recipient FTEs,3.5132216082027554
TAP College Code,3.9382117775060825
