feature,mean_importance
Academic Year,7.9262299271052e-05
Federal School Code,0.0006213448788748885
TAP College Name,0.000631243468594259
Sector Type,0.0008751588872951428
TAP Recipient Dollars,0.0011109490731888326
TAP Level of Study,0.0017152577437071896
TAP Recipient Headcount,0.0020384309463911073
TAP Sector Group,0.002121065384845361
Level,0.0026534368923212164
TAP Recipient FTEs,0.003731952189253857
TAP College Code,1.9918479440108592
