feature,shap_importance
TAP College Code,0.5759046386763401
TAP Recipient Dollars,0.48739260963805586
Federal School Code,0.16690262361697436
TAP Sector Group,0.09133458138206714
TAP Recipient FTEs,0.06782066115533286
Sector Type,0.025424217908366353
TAP Recipient Headcount,0.011444534455727486
Academic Year,0.008866971133339722
TAP College Name,0.003385806635348191
